date,geo,mode,value
2021-06-30,FR,road,99.4
2021-09-30,FR,road,100.1
2021-12-31,FR,road,101.5
2022-03-31,FR,road,104.8
2022-06-30,FR,road,109.8
2022-09-30,FR,road,110.8
2022-12-31,FR,road,112.3
2023-03-31,FR,road,113.4
2023-06-30,FR,road,112.5
2023-09-30,FR,road,113.8
2023-12-31,FR,road,113.6
2024-03-31,FR,road,114.5
2010-03-31,IT,road,93.7
2010-06-30,IT,road,93.7
2010-09-30,IT,road,94.8
2010-12-31,IT,road,94.3
2011-03-31,IT,road,94.1
2011-06-30,IT,road,94.2
2011-09-30,IT,road,95.5
2011-12-31,IT,road,94.8
2012-03-31,IT,road,94.1
2012-06-30,IT,road,95.7
2012-09-30,IT,road,95.7
2012-12-31,IT,road,95.5
2013-03-31,IT,road,96.2
2013-06-30,IT,road,96.6
2013-09-30,IT,road,94.6
2013-12-31,IT,road,95.2
2014-03-31,IT,road,97.0
2014-06-30,IT,road,96.4
2014-09-30,IT,road,97.4
2014-12-31,IT,road,98.0
2015-03-31,IT,road,97.7
2015-06-30,IT,road,98.6
2015-09-30,IT,road,97.7
2015-12-31,IT,road,97.1
2016-03-31,IT,road,94.5
2016-06-30,IT,road,96.5
2016-09-30,IT,road,97.2
2016-12-31,IT,road,95.7
2017-03-31,IT,road,92.5
2017-06-30,IT,road,93.9
2017-09-30,IT,road,94.8
2017-12-31,IT,road,94.5
2018-03-31,IT,road,95.5
2018-06-30,IT,road,96.4
2018-09-30,IT,road,98.1
2018-12-31,IT,road,98.5
2019-03-31,IT,road,96.6
2019-06-30,IT,road,98.2
2019-09-30,IT,road,99.0
2019-12-31,IT,road,100.9
2020-03-31,IT,road,98.5
2020-06-30,IT,road,97.2
2020-09-30,IT,road,101.8
2020-12-31,IT,road,100.7
2021-03-31,IT,road,98.3
2021-06-30,IT,road,99.2
2021-09-30,IT,road,100.6
2021-12-31,IT,road,101.9
2022-03-31,IT,road,105.5
2022-06-30,IT,road,108.8
2022-09-30,IT,road,110.6
2022-12-31,IT,road,112.0
2023-03-31,IT,road,110.9
2023-06-30,IT,road,110.1
2023-09-30,IT,road,111.5
2023-12-31,IT,road,110.9
2015-03-31,NL,road,89.6
2015-06-30,NL,road,89.8
2015-09-30,NL,road,89.7
2015-12-31,NL,road,89.4
2016-03-31,NL,road,89.3
2016-06-30,NL,road,89.7
2016-09-30,NL,road,89.8
2016-12-31,NL,road,90.1
2017-03-31,NL,road,90.8
2017-06-30,NL,road,90.9
2017-09-30,NL,road,90.9
2017-12-31,NL,road,91.3
2018-03-31,NL,road,92.9
2018-06-30,NL,road,93.4
2018-09-30,NL,road,93.9
2018-12-31,NL,road,94.4
2019-03-31,NL,road,96.9
2019-06-30,NL,road,97.4
2019-09-30,NL,road,97.7
2019-12-31,NL,road,97.9
2020-03-31,NL,road,98.7
2020-06-30,NL,road,97.9
2020-09-30,NL,road,97.6
2020-12-31,NL,road,97.6
2021-03-31,NL,road,98.1
2021-06-30,NL,road,99.4
2021-09-30,NL,road,100.4
2021-12-31,NL,road,102.1
2022-03-31,NL,road,107.3
2022-06-30,NL,road,112.1
2022-09-30,NL,road,113.4
2022-12-31,NL,road,114.4
2023-03-31,NL,road,118.7
2023-06-30,NL,road,118.0
2023-09-30,NL,road,118.7
2023-12-31,NL,road,119.6
2006-03-31,PL,road,66.4
2006-06-30,PL,road,66.9
2006-09-30,PL,road,67.3
2006-12-31,PL,road,67.4
2007-03-31,PL,road,67.5
2007-06-30,PL,road,68.4
2007-09-30,PL,road,69.6
2007-12-31,PL,road,70.9
2008-03-31,PL,road,71.6
2008-06-30,PL,road,73.0
2008-09-30,PL,road,73.8
2008-12-31,PL,road,74.6
2009-03-31,PL,road,74.9
2009-06-30,PL,road,75.4
2009-09-30,PL,road,75.4
2009-12-31,PL,road,75.7
2010-03-31,PL,road,75.9
2010-06-30,PL,road,76.4
2010-09-30,PL,road,76.4
2010-12-31,PL,road,76.8
2011-03-31,PL,road,76.9
2011-06-30,PL,road,78.6
2011-09-30,PL,road,80.2
2011-12-31,PL,road,80.8
2012-03-31,PL,road,80.3
2012-06-30,PL,road,81.7
2012-09-30,PL,road,80.3
2012-12-31,PL,road,79.5
2013-03-31,PL,road,81.1
2013-06-30,PL,road,83.7
2013-09-30,PL,road,84.8
2013-12-31,PL,road,84.3
2014-03-31,PL,road,86.2
2014-06-30,PL,road,86.3
2014-09-30,PL,road,86.0
2014-12-31,PL,road,85.8
2015-03-31,PL,road,87.7
2015-06-30,PL,road,89.1
2015-09-30,PL,road,89.4
2015-12-31,PL,road,91.1
2016-03-31,PL,road,91.3
2016-06-30,PL,road,91.6
2016-09-30,PL,road,91.7
2016-12-31,PL,road,91.9
2017-03-31,PL,road,91.8
2017-06-30,PL,road,92.0
2017-09-30,PL,road,91.7
2017-12-31,PL,road,92.0
2018-03-31,PL,road,92.5
2018-06-30,PL,road,93.5
2018-09-30,PL,road,94.3
2018-12-31,PL,road,94.8
2019-03-31,PL,road,95.6
2019-06-30,PL,road,96.0
2019-09-30,PL,road,96.6
2019-12-31,PL,road,96.9
2020-03-31,PL,road,97.5
2020-06-30,PL,road,96.9
2020-09-30,PL,road,97.3
2020-12-31,PL,road,98.0
2021-03-31,PL,road,98.5
2021-06-30,PL,road,99.2
2021-09-30,PL,road,100.1
2021-12-31,PL,road,102.2
2022-03-31,PL,road,108.1
2022-06-30,PL,road,114.2
2022-09-30,PL,road,120.9
2022-12-31,PL,road,123.3
2023-03-31,PL,road,123.4
2023-06-30,PL,road,121.8
2023-09-30,PL,road,121.7
2023-12-31,PL,road,121.8
